유형,구분,폭원(미터),노선수,연장(미터),면적,개설(미터),미개설(미터),일부개설(미터),데이터기준일자
중로급이상 가로망,광로3류,40,2,4886,195440,3302,846,738,2021-03-31
중로급이상 가로망,대로1류,35,9,76835,2689225,31713,11158,33964,2021-03-31
중로급이상 가로망,대로3류,25,24,53757,1343925,23763,13693,16301,2021-03-31
중로급이상 가로망,중로1류,20,32,65978,1319560,45540,8093,12345,2021-03-31
중로급이상 가로망,중로2류,15,40,41863,627945,25560,7627,8676,2021-03-31
중로급이상 가로망,중로3류,12,35,19163,229956,13850,3887,1426,2021-03-31
소로망,일도1동,3~10,30,5243,35565,5000,0,243,2021-03-31
소로망,일도2동,3~10,175,31422,229053,30685,328,409,2021-03-31
소로망,이도1동,3~10,61,10429,78864,9057,537,835,2021-03-31
소로망,이도2동,3~10,321,59561,356420,56662,454,2445,2021-03-31
소로망,삼도1동,3~10,81,19012,145524,18072,370,570,2021-03-31
소로망,삼도2동,3~10,99,18242,136008,15400,1110,1732,2021-03-31
소로망,용담1동,3~10,78,11722,84384,8499,1318,1905,2021-03-31
소로망,용담2동,3~10,256,37327,188574,26655,5848,4824,2021-03-31
소로망,건입동,3~10,109,18059,113632,16214,1023,822,2021-03-31
소로망,화북동,3~10,287,72094,403676,56398,12478,3218,2021-03-31
소로망,삼양동,3~10,248,73512,379223,58585,12269,2658,2021-03-31
소로망,봉개동,3~10,218,109708,372861,102321,6726,661,2021-03-31
소로망,아라동,3~10,364,180884,583394,173058,7065,761,2021-03-31
소로망,오라동,3~10,212,50195,174898,48346,1447,402,2021-03-31
소로망,연동,3~10,279,81692,563504,80704,988,0,2021-03-31
소로망,노형동,3~10,394,149791,613633,149383,408,0,2021-03-31
소로망,외도동,3~10,220,61300,256084,61300,0,0,2021-03-31
소로망,이호동,3~10,94,29355,140573,20209,8910,236,2021-03-31
소로망,도두동,3~10,95,21655,73208,21655,0,0,2021-03-31
